trip_num,driver_num,num_occupants,pre_trip,trip_date,start_time,lighting,road_conditions,odometer,start_outside_temp,start_inside_temp,start_departure,range_start,drive_mode,start_notes,post_trip,finish_outside_temp,finish_inside_temp,blue_score,trip_distance,average_speed,trip_duration,economy,range_remaining,brake_mode,climate_control,road_style,reset_meters,finish_notes,charge_location,charge_date,charge_time,plugin_temp,unplug_temp,charge_departure,power_usage,cost,charge_notes
1,1,1,Yes,2018-11-15,16:36:00,Dim,Clear,458,6.5,NA,No,160,Eco PlusN,NA,Yes,5,NA,85,17,43,23,16,139,B,No,Highway,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1,1,Yes,2018-11-16,08:10:00,Dark,Blizzard,476,-5,NA,No,140,Eco PlusN,NA,Yes,-5,NA,81,14,54,14,21,99,B,Yes,Highway,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1,1,Yes,2018-11-16,08:40:00,Dim,Blizzard,490,-4.5,NA,No,100,Eco PlusN,NA,Yes,-6,NA,98,3,40,10,24.3,89,0,Yes,City/Highway,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,1,1,Yes,2018-11-16,15:25:00,Dim,Snowy,493,-6,NA,No,86,Eco PlusN,NA,Yes,-8.5,NA,87,2,15,10,38.7,75,0,Yes,City,NA,Not using a braking mode this car coasts really far!,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,1,1,Yes,2018-11-16,16:05:00,Dim,Snowy,496,-7.5,NA,No,72,Eco PlusN,NA,Yes,-12,NA,86,22,35,38,26.7,42,0,Yes,City/Highway,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,1,1,Yes,2018-11-16,18:58:00,Dim,Snowy,516,-11.5,NA,No,43,Eco PlusN?E,The car changed mode on its own,Yes,-10.5,NA,81,19,57,20,16.5,35,0,No,Highway,NA,(went into eco mode),NA,NA,NA,NA,NA,NA,NA,NA,NA
7,1,1,Yes,2018-11-16,19:54:00,Dim,Snowy,536,-10.5,NA,No,32,Eco Plus?+,The car changed mode on its own,Yes,-17,NA,79,20,51,23,18.9,9,0,No,Highway,NA,(went into eco+ mode),1 home,2018-11-16,20:22:00,-17,0,Yes,39.1,NA,"Charge door was frozen shut, had to carefully coax it open"
8,1,1,Yes,2018-11-19,06:47:00,Dark,Partly covered,556,0,NA,Yes,184,Eco PlusN,NA,Yes,0.5,NA,67,14,60,14,17.2,167,0,Yes,Highway,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,1,1,Yes,2018-11-19,07:09:00,Dark,Partly covered,570,0.5,NA,No,166,Eco PlusN,NA,Yes,0.5,NA,84,3,40,10,17.8,163,0,Yes,City/Highway,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,1,1,Yes,2018-11-19,16:02:00,Sunny,Clear,573,6.5,NA,No,166,Eco PlusN,NA,Yes,6.5,NA,88,1,14,7,12.5,168,0,Yes,City,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,1,1,Yes,2018-11-19,16:14:00,Sunny,Clear,575,6.5,NA,No,168,Eco PlusN,NA,Yes,3.5,NA,77,18,49,22,18.5,150,0,Yes,Highway,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,1,1,Yes,2018-11-20,06:41:00,Dark,Frosty,593,0,-3,No,147,Eco PlusN,NA,Yes,-1,15.5,81,17,54,19,17.9,132,0,Yes,Highway,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,1,1,Yes,2018-11-20,21:21:00,Dark,Clear,611,1,2.5,No,132,Eco PlusN,NA,Yes,0,18,79,17,56,18,20.6,107,0,Yes,Highway,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,1,1,Yes,2018-11-21,04:34:00,Dark,Clear,628,1,0.5,No,107,Eco PlusN,NA,Yes,0,17,78,18,32,34,17.7,93,0,Yes,Highway,Y,includes wait in drive-through,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,1,1,Yes,2018-11-21,06:54:00,Dim,Clear,646,-2,1,No,95,Eco PlusN,NA,Yes,0,19,85,21,39,33,17.9,66,0,Yes,City/Highway,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,1,2,Yes,2018-11-21,07:43:00,Dim,Clear,668,0.5,14.5,No,66,Eco PlusN,NA,Yes,-1,22,94,7,45,9,15.5,59,0,Yes,City,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,1,1,Yes,2018-11-21,08:27:00,Sunny,Clear,675,0,13.5,No,60,Eco PlusN,NA,Yes,2,19.5,89,8,38,13,16.4,52,0,Yes,City/Highway,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,1,1,Yes,2018-11-21,16:07:00,Dim,Clear,684,8,13.5,No,57,Eco PlusN,NA,Yes,6,19.5,80,17,53,20,18.5,32,0,Yes,Highway,Y,Changed to eco mode on its own at the 50km range mark,1 home,2018-11-21,16:34:00,6,2.5,Yes,16.8,NA,NA
19,1,1,Yes,2018-11-22,06:58:00,Dark,Clear,701,2.5,18,Yes,109,Eco PlusN,Departure option is really nice to get into in the morning,Yes,4.5,22.5,74,17,60,20,15,99,0,Yes,Highway,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,1,1,Yes,2018-11-22,08:06:00,Dark,Clear,719,3.5,4.5,No,101,Eco PlusN,NA,Yes,3.5,20,78,17,53,19,19.6,69,0,Yes,Highway,Y,NA,1 home,2018-11-22,20:27:00,3.5,-9.5,Yes,26.3,NA,NA
21,1,1,Yes,2018-11-26,06:51:00,Dark,Partly covered,736,-9.5,NA,Yes,172,Eco PlusN,NA,Yes,-11,16,74,17,52,20,24.8,136,0,Yes,Highway,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,1,2,Yes,2018-11-26,08:43:00,Sunny,Partly covered,753,-11,NA,No,137,Eco PlusN,NA,Yes,-9,NA,90,1,11,8,52.9,129,0,Yes,City,Y,My temp gun malfunction for inside temp,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,2,2,Yes,2018-11-26,09:00:00,Sunny,Partly covered,755,-8.5,NA,No,129,Eco PlusN,NA,Yes,-8,NA,86,1,12,9,56.8,117,0,Yes,City,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,1,1,Yes,2018-11-26,16:25:00,Dim,Partly covered,757,1.5,8,No,123,Eco PlusN,NA,Yes,1,20,80,17,40,26,20.3,113,0,Yes,Highway,Y,NA,1 home,2018-11-26,16:54:00,-1,2.5,Yes,14.6,NA,NA
25,1,1,Yes,2018-11-27,06:48:00,Dark,Partly covered,774,2.5,13,Yes,168,Eco PlusN,NA,Yes,4,20,78,17,56,18,15.8,169,B,Yes,Highway,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,1,1,Yes,2018-11-27,15:56:00,Dim,Clear,791,8,11,No,172,Eco PlusN,NA,Yes,8.5,18,96,4,25,10,18.6,167,B,Yes,City,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,1,1,Yes,2018-11-27,16:22:00,Dim,Clear,796,9,18,No,167,Eco PlusN,NA,Yes,7.5,20.5,96,4,26,10,12.8,168,B,Yes,City,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,1,1,Yes,2018-11-27,18:49:00,Dark,Clear,801,6,10,No,169,Eco PlusN,NA,Yes,4,20.5,87,18,45,25,18,147,B,Yes,City/Highway,Y,NA,1 home,2018-11-27,19:19:00,4,1,Yes,10.9,NA,NA
29,1,1,Yes,2018-11-28,06:46:00,Dark,Clear,820,1,12.5,Yes,188,Eco PlusN,NA,Yes,1,20.5,78,17,58,18,14.9,185,B,Yes,Highway,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,1,1,Yes,2018-11-28,09:40:00,Sunny,Clear,837,4,10,No,188,Eco PlusN,NA,Yes,3,17,92,5,29,10,17.8,178,B,Yes,City,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,1,1,Yes,2018-11-28,11:47:00,Sunny,Clear,842,7,17,No,180,Eco PlusN,NA,Yes,7.5,20.5,95,4,26,9,13.3,182,B,Yes,City,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,1,1,Yes,2018-11-28,17:01:00,Dim,Clear,847,4.5,13,No,181,Eco PlusN,NA,Yes,6,17.5,97,2,21,7,18.1,177,B,Yes,City,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,1,1,Yes,2018-11-28,18:19:00,Dark,Clear,849,6,11.5,No,177,Eco PlusN,NA,Yes,3,18,95,3,24,9,19.4,170,B,Yes,City,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,1,1,Yes,2018-11-28,19:21:00,Dark,Clear,853,3,10.5,No,169,Eco PlusN,NA,Yes,2.5,11,98,0,10,3,29.9,166,B,Yes,City,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,1,1,Yes,2018-11-28,19:48:00,Dark,Clear,853,3,12,No,166,Eco PlusN,NA,Yes,3,20.5,77,20,58,20,19.2,137,B,Yes,City/Highway,Y,NA,1 home,2018-11-28,20:10:00,3,0.5,Yes,12.1,NA,NA
36,1,1,Yes,2018-11-29,06:45:00,Dark,Clear,874,0.5,8.5,Yes,186,Eco PlusN,NA,Yes,-3.5,19,79,14,50,17,17.7,174,B,Yes,Highway,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,1,1,Yes,2018-11-29,07:11:00,Dark,Clear,888,-2,19,No,174,Eco PlusN,NA,Yes,-2.5,19.5,95,3,24,9,20.1,168,B,Yes,City/Highway,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,1,1,Yes,2018-11-29,15:54:00,Sunny,Clear,892,3.5,13,No,173,Eco PlusN,NA,Yes,0,22.5,90,17,53,19,17.7,155,D2,Yes,Highway,Y,NA,1 home,2018-11-29,16:10:00,0,-2,Yes,19.9,NA,Departure was set for 6:40 actual departure 6:51
39,1,1,Yes,2018-11-30,06:51:00,Dark,Clear,909,-2,9,Yes,183,Eco PlusN,NA,Yes,-3,21.5,81,19,52,22,17.6,161,D2,Yes,City/Highway,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,1,1,Yes,2018-11-30,13:48:00,Sunny,Clear,928,3.5,13,No,168,Eco PlusN,NA,Yes,2,20,95,7,28,16,17.5,159,D2,Yes,City,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,1,1,Yes,2018-11-30,14:30:00,Sunny,Clear,938,3,13.5,No,159,Eco PlusN,NA,Yes,2,19.5,92,6,NA,11,NA,155,D2,Yes,City/Highway,Y,The vehicle data screen was not on the since start to some data on this line was omitted,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,1,1,Yes,2018-11-30,16:06:00,Dim,Clear,941,1.5,10,No,155,Eco PlusN,NA,Yes,0,20.5,84,17,49,21,17.7,135,D3,Yes,Highway,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,1,2,Yes,2018-11-30,18:29:00,Dark,Clear,958,1,6,No,134,Eco PlusN,NA,Yes,-1,20.5,84,19,54,21,16.3,119,D3,Yes,City/Highway,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,1,2,Yes,2018-11-30,21:55:00,Dark,Clear,978,-2,3.5,No,118,Eco PlusN,NA,Yes,-4,21,87,19,46,25,21.1,82,D2,Yes,City/Highway,Y,NA,1 home,2018-11-30,22:20:00,-2,-3,No,7.8,NA,NA
45,1,1,Yes,2018-12-01,05:08:00,Dark,Clear,997,-3,NA,No,115,Eco PlusN,NA,Yes,-4.5,15,76,16,62,16,19.7,96,D3,Yes,Highway,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,1,1,Yes,2018-12-01,12:53:00,Dim,Snowy,1014,-3.5,NA,No,96,Eco PlusN,NA,Yes,-4.5,15,84,16,56,17,23,70,D3,Yes,Highway,Y,NA,1 home,2018-12-01,13:10:00,-4.5,-6,No,24.2,NA,NA
47,1,3,Yes,2018-12-02,10:41:00,Dim,Snowy,1030,-6,-6,No,161,Eco PlusN,NA,Yes,-7,10.5,73,15,60,15,23.3,146,D1,Yes,Highway,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,1,3,Yes,2018-12-02,12:36:00,Dim,Snowy,1045,-7,7,No,149,Eco PlusN,NA,Yes,-5,8.5,81,0,10,2,57.3,147,0,Yes,City,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,1,3,Yes,2018-12-02,12:45:00,Dim,Partly covered,1046,-4,7,No,146,Eco PlusN,NA,Yes,-3.5,16.5,97,8,44,11,21.5,136,D3,Yes,City,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,1,3,Yes,2018-12-02,16:42:00,Dim,Partly covered,1054,-4.5,-0.5,No,137,Eco PlusN,NA,Yes,-9.5,19.5,86,18,45,24,28,99,D3,Yes,City/Highway,Y,NA,1 home,2018-12-02,17:07:00,-9.5,-5.5,Yes,14,NA,Charge door was frozen shut again
51,1,1,Yes,2018-12-03,06:46:00,Dark,Partly covered,1072,-5.5,-4.5,Yes,147,Eco PlusN,NA,Yes,-7,16,83,17,56,18,19.8,139,D3,Yes,Highway,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,1,1,Yes,2018-12-03,11:49:00,Dim,Partly covered,1089,-2.5,3,No,138,Eco PlusN,NA,Yes,-2,7.5,87,3,32,5,31.8,131,0,Yes,City/Highway,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,1,1,Yes,2018-12-03,12:39:00,Dim,Partly covered,1093,-1.5,7,No,132,Eco PlusN,NA,Yes,-2,16,87,3,29,6,24.3,129,0,Yes,City/Highway,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,1,1,Yes,2018-12-03,16:49:00,Dim,Partly covered,1096,-3.5,2.5,No,127,Eco PlusN,NA,Yes,-5.5,20.5,88,23,40,35,24,100,D3,Yes,City/Highway,Y,includes sitting in drive through,1 home,2018-12-03,17:29:00,-5.5,-11.5,Yes,NA,NA,"Something appeard to have happened to power supply, Log was reset and vehicle didn't appear to be warm or fully charged"
55,1,1,Yes,2018-12-04,06:51:00,Dark,Partly covered,1119,-11.5,11.5,Yes,136,Eco PlusN,NA,Yes,-12.5,14.5,83,17,50,21,27,111,D3,Yes,Highway,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,1,1,Yes,2018-12-04,16:28:00,Dim,Clear,1137,-2,2,No,122,Eco PlusN,NA,Yes,-1.5,12,80,3,27,6,32.9,114,D3,Yes,City/Highway,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,1,1,Yes,2018-12-04,16:52:00,Dim,Clear,1140,-1.5,8.5,No,114,Eco PlusN,NA,Yes,-3.5,20.5,83,14,56,15,22.8,102,D3,Yes,Highway,Y,using temp gun with temperature taken off the shifter boot,1 home,2018-12-04,17:09:00,-3.5,-8,Yes,14.6,NA,NA
58,1,1,Yes,2018-12-05,06:43:00,Dark,Clear,1154,-8,-2,Yes,146,Eco PlusN,NA,Yes,-7,20.5,83,17,53,20,21.9,134,D3,Yes,Highway,Y,Temperature is different side to side and goes eco when passenger gets out,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,1,1,Yes,2018-12-05,07:33:00,Dark,Partly covered,1172,-5.5,5,No,135,Eco PlusN,NA,Yes,1,18.5,95,0,4,7,67.9,143,0,Yes,City,Y,AST shop demo,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,1,1,Yes,2018-12-05,12:54:00,Dim,Partly covered,1172,0,11.5,No,137,Eco PlusN,NA,Yes,-3.5,16.5,89,0,4,7,94.9,130,0,Yes,City,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,1,2,Yes,2018-12-05,13:03:00,Dim,Partly covered,1173,-3.5,16.5,No,130,Eco PlusN,NA,Yes,-6.5,22.5,84,4,24,11,20.8,128,0,Yes,City,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,1,2,Yes,2018-12-05,14:52:00,Dim,Partly covered,1177,-6.5,5,No,128,Eco PlusN,NA,Yes,-8,17.1,85,4,21,12,34.1,116,D3,Yes,City,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,1,1,Yes,2018-12-05,16:02:00,Dim,Partly covered,1182,-6.5,6,No,115,Eco PlusN,NA,Yes,-9,20.5,85,21,37,35,24.8,101,0,Yes,City/Highway,Y,Numbers don’t seem correct may have tried to reset wrong trip,1 home,2018-12-05,16:25:00,-9,-14,Yes,14.6,NA,NA
64,1,1,Yes,2018-12-06,06:29:00,Dark,Partly covered,1199,-14,2.5,Yes,140,Eco PlusN,NA,Yes,-17,10.5,82,17,51,20,28.8,110,D3,Yes,Highway,Y,Doesn't feel cold Tire pressure monitor gave warning/ tires appear to be ok,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,1,1,Yes,2018-12-06,15:44:00,Sunny,Clear,1216,-12.5,1.5,No,121,Eco PlusN,NA,Yes,-11,19.5,88,4,23,10,40.6,106,D3,Yes,City,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,1,2,Yes,2018-12-06,16:09:00,Sunny,Clear,1220,-11,12.5,No,105,Eco PlusN,NA,Yes,-11.5,17,83,0,4,3,NA,100,0,Yes,City,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,1,2,Yes,2018-12-06,16:17:00,Dim,Clear,1221,-11.5,13,No,102,Eco PlusN,NA,Yes,-11,18,89,0,8,2,90.4,99,0,Yes,City,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,1,2,Yes,2018-12-06,16:27:00,Dim,Clear,1221,-11,12,No,99,Eco PlusN,NA,Yes,-13.5,22,81,7,30,14,31.9,89,0,Yes,City,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,1,2,Yes,2018-12-06,20:07:00,Dark,Partly covered,1228,-13.5,NA,No,87,Eco PlusN,Temperatrure gun not operating,Yes,-14,NA,82,12,52,14,32.2,69,D3,Yes,Highway,Y,NA,1 home,2018-12-06,20:24:00,-14,-15,Yes,11.7,NA,NA
70,1,1,Yes,2018-12-07,06:42:00,Dark,Partly covered,1241,-15,-9.5,Yes,97,Eco PlusN,NA,Yes,-17.5,15.5,75,17,57,18,27.9,81,D3,Yes,Highway,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,1,1,Yes,2018-12-07,16:03:00,Dim,Clear,1258,-3.5,2.5,Yes,90,Eco PlusN,NA,Yes,-2.5,17,92,4,29,9,27.6,86,D3,Yes,City,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,1,1,Yes,2018-12-07,16:34:00,Dim,Clear,1263,-2.5,11.5,Yes,85,Eco PlusN,NA,Yes,-6,22.5,74,19,60,20,22.2,70,D3,Yes,City/Highway,Y,NA,1 home,2018-12-07,16:55:00,-6,-0.5,Yes,21.8,NA,NA
73,1,1,Yes,2018-12-10,06:42:00,Dark,Clear,1283,-0.5,10,Yes,144,Eco PlusN,NA,Yes,3,21.5,78,17,56,18,17.5,146,D3,Yes,Highway,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,1,1,Yes,2018-12-10,16:49:00,Dim,Clear,1300,2,5,No,146,Eco PlusN,NA,Yes,1,23,90,17,56,18,19.7,133,D3,Yes,Highway,Y,NA,1 home,2018-12-10,17:08:00,1,-5.5,Yes,9,NA,NA
75,1,1,Yes,2018-12-11,06:50:00,Dark,Clear,1317,-5.5,0.5,Yes,159,Eco PlusN,NA,Yes,-3,22,82,17,56,18,19.1,150,D3,Yes,Highway,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,1,1,Yes,2018-12-11,16:55:00,Dim,Clear,1335,3.5,7.5,No,151,Eco PlusN,NA,Yes,2,24,83,17,55,18,21.5,131,D3,Yes,Highway,Y,NA,1 home,2018-12-11,17:16:00,2,2,Yes,9.9,NA,NA
77,1,1,Yes,2018-12-12,06:52:00,Dark,Clear,1352,2,10.5,Yes,166,Eco PlusN,NA,Yes,1.5,23.5,78,17,58,18,15.5,166,D3,Yes,Highway,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,1,2,Yes,2018-12-12,09:33:00,Dim,Clear,1369,1.5,5,No,166,Eco PlusN,NA,Yes,1.5,24,93,16,28,34,19.5,150,D3,Yes,City/Highway,Y,includes waiting to pick up someone,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,1,2,Yes,2018-12-12,11:07:00,Dim,Clear,1386,2,16,No,150,Eco PlusN,NA,Yes,2,22,88,0,5,4,45.6,149,D3,Yes,City,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,1,2,Yes,2018-12-12,11:36:00,Dim,Clear,1386,2.5,16,No,149,Eco PlusN,NA,Yes,2.5,20,93,0,5,3,NA,148,D3,Yes,City,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,1,2,Yes,2018-12-12,11:42:00,Dim,Clear,1386,2.5,20,No,147,Eco PlusN,NA,Yes,3.5,26,92,11,25,28,17.6,142,D3,Yes,City,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,1,1,Yes,2018-12-12,15:59:00,Sunny,Clear,1398,2.5,9.5,No,143,Eco PlusN,NA,Yes,1.5,18.5,91,4,23,11,24.2,132,D3,Yes,City,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,1,1,Yes,2018-12-12,16:20:00,Dim,Clear,1402,1.5,18,No,131,Eco PlusN,NA,Yes,0,23.5,82,14,56,15,19.4,113,D3,Yes,Highway,Y,NA,1 home,2018-12-12,16:37:00,0,1,Yes,16.1,NA,NA
84,1,1,Yes,2018-12-13,06:54:00,Dark,Clear,1417,1,9.5,Yes,175,Eco PlusN,NA,Yes,2.5,22.5,79,17,50,15,17.4,165,D3,Yes,Highway,Y,"resistance/braking changes based on battery space, engine brake feel changes during trip",NA,NA,NA,NA,NA,NA,NA,NA,NA
85,1,1,Yes,2018-12-13,16:22:00,Dim,Clear,1434,4,7.5,No,169,Eco PlusN,NA,Yes,4,11.5,87,2,24,7,25.5,160,D3,Yes,City/Highway,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,1,1,Yes,2018-12-13,16:35:00,Dim,Clear,1437,4,7.5,No,160,Eco PlusN,NA,Yes,3,17.5,93,1,14,6,21.5,158,D3,Yes,City,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,1,1,Yes,2018-12-13,16:48:00,Dark,Clear,1439,3,13.5,No,158,Eco PlusN,NA,Yes,3,24,94,3,20,12,20.2,155,D3,Yes,City,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,1,1,Yes,2018-12-13,17:06:00,Dark,Clear,1441,3,20,No,157,Eco PlusN,NA,Yes,1.5,23.5,81,19,50,23,18.8,135,D3,Yes,City/Highway,Y,NA,1home,2018-12-13,17:29:00,1.5,2.5,No,11.1,NA,NA
89,1,1,Yes,2018-12-14,04:02:00,Dark,Clear,1460,2.5,2,No,183,Eco PlusN,NA,Yes,4,22.5,83,18,42,26,16.4,175,D3,Yes,Highway,Y,includes sitting in drive through,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,1,1,Yes,2018-12-14,14:37:00,Dim,Clear,1479,8.5,9,No,175,Eco PlusN,NA,Yes,7.5,18.5,86,11,41,16,17.7,165,D3,Yes,City/Highway,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,1,1,Yes,2018-12-14,16:06:00,Sunny,Clear,1490,7.5,10.5,No,165,Eco PlusN,NA,Yes,6.5,24.5,75,30,57,31,16.3,141,D3,Yes,Highway,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,1,1,Yes,2018-12-14,16:47:00,Dim,Clear,1520,7,20,No,142,Eco PlusN,NA,Yes,10,23,83,8,41,12,15,134,D3,Yes,City/Highway,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,1,1,Yes,2018-12-14,17:51:00,Dark,Clear,1529,10,15.5,No,136,Eco PlusN,NA,Yes,5,22.5,77,20,61,20,17.5,107,D3,Yes,Highway,Y,NA,1home,2018-12-14,18:13:00,5,5.5,No,19.6,NA,NA
94,1,1,Yes,2018-12-16,14:55:00,Dim,Clear,1550,5.5,7,No,198,Eco PlusN,NA,Yes,5.5,17,96,12,58,12,15.5,191,D3,Yes,Highway,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,1,1,Yes,2018-12-16,15:17:00,Dim,Clear,1562,6,13.5,No,191,Eco PlusN,NA,Yes,5,23,94,12,57,12,16.9,177,D3,Yes,Highway,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,1,1,Yes,2018-12-17,07:22:00,Dark,Clear,1574,3,10,Yes,202,Eco PlusN,NA,Yes,6,20,81,17,56,18,16,187,D3,Yes,Highway,Y,NA,1home,2018-12-16,15:33:00,5,3,Yes,6.2,NA,Departure sent for 6:40
97,1,1,Yes,2018-12-17,16:30:00,Dim,Clear,1592,6.5,10,No,190,Eco PlusN,NA,Yes,7,24.5,83,17,48,21,17.8,165,D3,Yes,Highway,Y,NA,1home,2018-12-17,16:53:00,7,3,Yes,8.4,NA,NA
98,1,1,Yes,2018-12-18,06:52:00,Dark,Clear,1609,3,10.5,Yes,202,Eco PlusN,NA,Yes,5,20.5,76,17,51,20,16.3,186,D3,Yes,Highway,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,1,1,Yes,2018-12-18,20:42:00,Dark,Clear,1627,4.5,5.5,No,186,Eco PlusN,NA,Yes,4.5,25,84,17,55,18,19.8,154,D3,Yes,Highway,Y,NA,1home,2018-12-18,21:02:00,4.5,1.5,Yes,9.1,NA,NA
100,1,1,Yes,2018-12-19,07:08:00,Dark,Clear,1644,1.5,8.5,Yes,190,Eco PlusN,NA,Yes,0,19,80,17,58,18,15.5,182,D3,Yes,Highway,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,1,1,Yes,2018-12-19,15:12:00,Sunny,Clear,1661,1.5,13,No,188,Eco PlusN,NA,Yes,8.5,17.5,92,3,33,7,17.6,181,D3,Yes,City/Highway,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102,1,1,Yes,2018-12-19,15:42:00,Sunny,Clear,1665,8,14,No,180,Eco PlusN,NA,Yes,5,19,87,2,15,9,20.1,176,D3,Yes,City,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,1,1,Yes,2018-12-19,16:35:00,Sunny,Clear,1667,5,13.5,No,176,Eco PlusN,NA,Yes,5,21.5,83,9,21,28,13.4,178,D3,Yes,City,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,1,1,Yes,2018-12-19,18:16:00,Dark,Clear,1677,5,11,No,179,Eco PlusN,NA,Yes,4.5,21,93,6,29,132,20.3,164,0,Yes,City,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105,1,1,Yes,2018-12-19,19:01:00,Dark,Clear,1683,4,15,No,163,Eco PlusN,NA,Yes,4,20.5,85,1,21,5,17.9,160,D3,Yes,City,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,1,1,Yes,2018-12-19,19:36:00,Dark,Clear,1685,3.5,15,No,161,Eco PlusN,NA,Yes,2.5,22.5,84,21,35,36,20.1,123,D3,Yes,City/Highway,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,1,1,Yes,2018-12-20,09:28:00,Dim,Clear,1707,0,0.5,No,125,Eco PlusN,NA,Yes,1,14.5,77,13,63,13,17.7,109,D3,Yes,Highway,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
